Sequence 1,Sequence 2,LCS Value,Time (s)
Seq1,Seq9,1336,1.23949
Seq1,Seq4,1370,1.29469
Seq1,Seq11,1293,1.29405
Seq1,Seq16,1354,1.33711
Seq1,Seq13,1339,1.35468
Seq1,Seq12,1344,1.35798
Seq1,Seq14,1348,1.35944
Seq1,Seq3,1368,1.36249
Seq1,Seq8,1403,1.36217
Seq1,Seq6,1364,1.36292
Seq1,Seq5,1361,1.36561
Seq1,Seq2,1391,1.37104
Seq1,Seq10,1506,1.41091
Seq1,Seq1,1524,1.42832
Seq1,Seq15,1425,1.43235
Seq1,Seq7,0,1.73487
Seq1,Seq21,1221,1.21977
Seq1,Seq23,1219,1.22043
Seq1,Seq25,1263,1.26878
Seq1,Seq24,1277,1.27763
Seq1,Seq22,1279,1.28424
Seq1,Seq26,1350,1.33114
Seq1,Seq27,1351,1.32905
Seq1,Seq20,1429,1.39805
Seq1,Seq29,1432,1.36898
Seq1,Seq28,1384,1.4151
Seq1,Seq30,1247,1.37637
Seq1,Seq31,1368,1.37236
Seq1,Seq32,1326,1.29318
Seq1,Seq17,1434,1.85863
Seq1,Seq18,1419,1.84323
Seq1,Seq19,1422,1.85462
Seq1,Seq33,1233,1.20177
Seq1,Seq35,1281,1.28119
Seq1,Seq37,1339,1.34079
Seq1,Seq36,1378,1.34481
Seq1,Seq34,1406,1.41598
Seq1,Seq38,1336,1.32659
Seq1,Seq39,1345,1.33206
Seq1,Seq40,1344,1.33853
Seq1,Seq44,1301,1.2955
Seq1,Seq41,1342,1.33109
Seq1,Seq42,1336,1.335
Seq1,Seq43,1330,1.33368
Seq1,Seq45,1295,1.28205
Seq1,Seq46,1299,1.2816
Seq1,Seq48,1248,1.26042
Seq1,Seq47,1259,1.27367
Seq1,Seq50,1245,1.25733
Seq1,Seq51,1252,1.26741
Seq1,Seq52,1370,1.36325
Seq1,Seq53,1429,1.39476
Seq1,Seq56,1381,1.34669
Seq1,Seq54,1471,1.41681
Seq1,Seq57,1327,1.33619
Seq1,Seq59,1355,1.34475
